game_id,title,aliases,series,release_year,release_state,primary_genre,platforms,source_type,source_id,cover_url,notes
steam_592600_pro_evolution_soccer_2018_lite,PRO EVOLUTION SOCCER 2018 LITE,,,2017,released,sports,PC,steamdb,steam:592600,https://steamcdn-a.akamaihd.net/steam/apps/592600/header.jpg,Publisher: Konami Digital Entertainment | Tags: Sports; Free to Play; Soccer; Multiplayer
steam_770240_pro_evolution_soccer_2019,PRO EVOLUTION SOCCER 2019,,,2018,released,sports,PC,steamdb,steam:770240,https://steamcdn-a.akamaihd.net/steam/apps/770240/header.jpg,Publisher: Konami Digital Entertainment
steam_950100_pro_evolution_soccer_2019_lite,PRO EVOLUTION SOCCER 2019 LITE,,,2018,released,sports,PC,steamdb,steam:950100,https://steamcdn-a.akamaihd.net/steam/apps/950100/header.jpg,Publisher: Konami Digital Entertainment
steam_234630_project_cars,Project CARS,,,2015,released,racing,PC,steamdb,steam:234630,https://steamcdn-a.akamaihd.net/steam/apps/234630/header.jpg,"Publisher: Slightly Mad Studios, BANDAI NAMCO Entertainment | Tags: Racing; Simulation; Driving; Realistic"
steam_429180_project_cars_pagani_edition,Project CARS - Pagani Edition,,,2016,released,racing,PC,steamdb,steam:429180,https://steamcdn-a.akamaihd.net/steam/apps/429180/header.jpg,"Publisher: Slightly Mad Studios, BANDAI NAMCO Entertainment | Tags: Racing; Simulation; Free to Play; Multiplayer"
steam_378860_project_cars_2,Project CARS 2,,,2017,released,racing,PC,steamdb,steam:378860,https://steamcdn-a.akamaihd.net/steam/apps/378860/header.jpg,Publisher: BANDAI NAMCO Entertainment | Tags: Racing; Driving; Simulation; Multiplayer
steam_423580_project_highrise,Project Highrise,,,2016,released,simulation,PC,steamdb,steam:423580,https://steamcdn-a.akamaihd.net/steam/apps/423580/header.jpg,Publisher: Kasedo Games | Tags: Simulation; Strategy; Management; Building
steam_774861_project_winter,Project Winter,,,2019,released,action,PC,steamdb,steam:774861,https://steamcdn-a.akamaihd.net/steam/apps/774861/header.jpg,Publisher: Other Ocean Group
steam_108600_project_zomboid,Project Zomboid,,,2013,released,indie,PC,steamdb,steam:108600,https://steamcdn-a.akamaihd.net/steam/apps/108600/header.jpg,Publisher: The Indie Stone | Tags: Early Access; Survival; Zombies; Open World
steam_219680_proteus,Proteus,,,2013,released,adventure,PC,steamdb,steam:219680,https://steamcdn-a.akamaihd.net/steam/apps/219680/header.jpg,Publisher: Twisted Tree | Tags: Exploration; Walking Simulator; Relaxing; Indie
